id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
cm_subject_type_employee,employee subject type,model_cm_subject_type,group_cm_employee_group,1,1,0,0
cm_subject_type_out,employee_out_subject_type,model_cm_subject_type,group_cm_user,1,1,1,1
cm_subject_type_reviwer,reviwer_subject_type,model_cm_subject_type,group_cm_reviewer,1,1,0,0
cm_subject_type_uint_man,uint_subject_type,model_cm_subject_type,group_cm_unit_manager,1,1,0,0
cm_subject_type_dep_man,dep_subject_type,model_cm_subject_type,group_cm_department_manager,1,1,0,0
cm_subject_type_exective_man,excetive_subject_type,model_cm_subject_type,group_cm_executive_manager,1,1,0,0
cm_transaction_impo_employee,employee_transaction_impo,model_cm_transaction_important,group_cm_employee_group,1,0,0,0
cm_transaction_impo_out,employee_out_transaction_impo,model_cm_transaction_important,group_cm_user,1,1,1,1
cm_transaction_impo_reviwer,reviwer_transaction_impo,model_cm_transaction_important,group_cm_reviewer,1,0,0,0
cm_transaction_impo_uint_man,uint_transaction_impo,model_cm_transaction_important,group_cm_unit_manager,1,0,0,0
cm_transaction_impo_dep_man,dep_transaction_impo,model_cm_transaction_important,group_cm_department_manager,1,0,0,0
cm_transaction_impo_exective_man,cm_procedure,model_cm_transaction_important,group_cm_executive_manager,1,0,0,0
cm_procedure_employee,employee_cm_procedure,model_cm_procedure,group_cm_employee_group,1,0,0,0
cm_procedure_out,employee_out_cm_procedure,model_cm_procedure,group_cm_user,1,1,1,1
cm_procedure_reviwer,reviwer_cm_procedure,model_cm_procedure,group_cm_reviewer,1,0,0,0
cm_procedure_uint_man,uint_cm_procedure,model_cm_procedure,group_cm_unit_manager,1,0,0,0
cm_procedure_dep_man,dep_cm_procedure,model_cm_procedure,group_cm_department_manager,1,0,0,0
cm_procedure_exective_man,excetive_cm_procedure,model_cm_procedure,group_cm_executive_manager,1,0,0,0
cm_attachmen_type_employee,employee_cm_attachmen_type,model_cm_attachment_type,group_cm_employee_group,1,1,1,1
cm_attachmen_type_out,employee_out_cm_attachmen_type,model_cm_attachment_type,group_cm_user,1,1,1,1
cm_attachmen_type_reviwer,reviwer_cm_attachmen_type,model_cm_attachment_type,group_cm_reviewer,1,1,1,1
cm_attachmen_type_uint_man,uint_cm_attachmen_type,model_cm_attachment_type,group_cm_unit_manager,1,1,1,1
cm_attachmen_type_dep_man,dep_cm_attachmen_type,model_cm_attachment_type,group_cm_department_manager,1,1,1,1
cm_attachmen_type_exective_man,excetive_cm_attachmen_type,model_cm_attachment_type,group_cm_executive_manager,1,1,1,1
cm_attachment,employee_cm_attachmen,model_cm_attachment,group_cm_employee_group,1,1,1,1
cm_attachmen_out,employee_out_cm_attachmen,model_cm_attachment,group_cm_user,1,1,1,1
cm_attachmen_reviwer,reviwer_cm_attachmen,model_cm_attachment,group_cm_reviewer,1,1,1,1
cm_attachmen_uint_man,uint_cm_attachmen,model_cm_attachment,group_cm_unit_manager,1,1,1,1
